total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy,allocation
21504,MiniGrid-DoorKey-6x6-v0,21504,15,1.0,0.9665,0.007461009761866475,0.945,0.975,13.4,2.9844039047465856,10,22,0.02,0.0003,0.2,0.3379327486807448,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
21504,MiniGrid-DoorKey-8x8-v0,21504,15,1.0,0.9662499999999999,0.013030912765420542,0.9353125,0.983125,24.0,9.266426855410161,12,46,0.02,0.0003,0.2,0.4824654402947902,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
21504,MiniGrid-DoorKey-16x16-v0,21504,15,0.9333333333333333,0.6601458333333332,0.29064347900854576,0.0,0.993671875,947.7333333333333,785.6740177848712,18,2560,0.02,0.0003,0.2,0.9341393932950299,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
24576,MiniGrid-DoorKey-5x5-v0,24576,15,1.0,0.96208,0.008299975903579478,0.946,0.9748,10.533333333333333,2.305548862105411,7,15,0.02,0.0003,0.2,0.36064493894476685,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
24576,MiniGrid-DoorKey-6x6-v0,24576,15,1.0,0.9596666666666668,0.012071545974821228,0.9275,0.9775,16.133333333333333,4.828618389928485,9,29,0.02,0.0003,0.2,0.5475567937471962,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
24576,MiniGrid-DoorKey-8x8-v0,24576,15,1.0,0.942625,0.03998368808026594,0.8340624999999999,0.97328125,40.8,28.432844857077995,19,118,0.02,0.0003,0.2,0.8215364690965764,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
24576,MiniGrid-DoorKey-16x16-v0,24576,15,0.6,0.4623984375,0.4042052754023454,0.0,0.9578125,1415.4,1020.7951018691264,120,2560,0.02,0.0003,0.2,1.155336762121325,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 2, ""MiniGrid-DoorKey-8x8-v0"": 2, ""MiniGrid-DoorKey-16x16-v0"": 2}"
27648,MiniGrid-DoorKey-5x5-v0,27648,15,1.0,0.9611200000000001,0.006466652920947567,0.9532,0.9712,10.8,1.7962924780409972,8,13,0.02,0.0003,0.2,0.1964077223609719,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
27648,MiniGrid-DoorKey-6x6-v0,27648,15,1.0,0.9665,0.007626707459098368,0.9525,0.975,13.4,3.0506829836393465,10,19,0.02,0.0003,0.2,0.23549174788287294,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
27648,MiniGrid-DoorKey-8x8-v0,27648,15,1.0,0.9499375,0.04166805206030156,0.80875,0.97890625,35.6,29.630614798436657,15,136,0.02,0.0003,0.2,0.522001480777207,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
27648,MiniGrid-DoorKey-16x16-v0,27648,15,0.8,0.6244531249999999,0.37114859956489715,0.0,0.971171875,1011.3333333333334,961.9655341481257,82,2560,0.02,0.0003,0.2,0.883191695460222,"{""MiniGrid-DoorKey-5x5-v0"": 2, ""MiniGrid-DoorKey-6x6-v0"": 1, ""MiniGrid-DoorKey-8x8-v0"": 3, ""MiniGrid-DoorKey-16x16-v0"": 2}"
